id,question_text,subject_ref,created_by_ref,option_a,option_b,option_c,option_d,correct_option,is_active
q_dsu01,Which data structure uses LIFO principle?,dsu_co3,examiner_01,Queue,Stack,Array,Linked List,b,true
q_dsu02,Time complexity of binary search is:,dsu_co3,examiner_01,O(n),O(log n),O(n²),O(1),b,true
q_dsu03,Which traversal visits root first then left then right?,dsu_co3,examiner_01,Inorder,Preorder,Postorder,Level order,b,true
q_dsu04,In a circular queue the rear pointer after reaching end:,dsu_co3,examiner_01,Stops,Wraps to front,Overwrites,Throws error,b,true
q_dsu05,Minimum number of queues needed for priority queue implementation:,dsu_co3,examiner_01,1,2,3,4,a,true
q_dsu06,Which sorting algorithm has best average case O(n log n)?,dsu_co3,examiner_01,Bubble Sort,Insertion Sort,Quick Sort,Selection Sort,c,true
q_dsu07,Height of a complete binary tree with n nodes is:,dsu_co3,examiner_01,n,log n,n/2,2^n,b,true
q_dsu08,Linked list is best for:,dsu_co3,examiner_01,Random access,Sequential access,Binary search,Sorting,b,true
q_dsu09,Stack overflow occurs when:,dsu_co3,examiner_01,Stack is empty,Stack is full,Pop on empty stack,Push on full stack,d,true
q_dsu10,Infix expression A+B*C in postfix is:,dsu_co3,examiner_01,ABC*+,+A*BC,AB+C*,A+BC*,a,true
q_dsu11,Graph traversal technique using queue is:,dsu_co3,examiner_01,DFS,BFS,Both,Neither,b,true
q_dsu12,Number of edges in a complete graph with n vertices:,dsu_co3,examiner_01,n,n-1,n(n-1)/2,n²,c,true
q_dte01,Binary equivalent of decimal 25 is:,dte_co3,examiner_01,10011,11001,10101,11011,b,true
q_dte02,Universal gate that can implement any Boolean function:,dte_co3,examiner_01,AND,OR,NAND,XOR,c,true
q_dte03,Output of XOR gate when both inputs are 1:,dte_co3,examiner_01,0,1,Undefined,High impedance,a,true
q_dte04,Flip-flop that toggles on every clock pulse:,dte_co3,examiner_01,SR,D,JK with J=K=1,T,d,true
q_dte05,De Morgan's theorem states A'.B' equals:,dte_co3,examiner_01,(A+B)',(A.B)',(A+B),(A.B),a,true
q_dte06,Number of select lines for 8:1 multiplexer:,dte_co3,examiner_01,2,3,4,8,b,true
q_dte07,Counter that counts from 0 to 9 is called:,dte_co3,examiner_01,Binary counter,Decade counter,Ring counter,Johnson counter,b,true
q_dte08,Edge-triggered flip-flop changes state on:,dte_co3,examiner_01,High level,Low level,Clock edge,Both levels,c,true
q_dte09,Half adder has how many outputs?,dte_co3,examiner_01,1,2,3,4,b,true
q_dte10,BCD code for decimal 9 is:,dte_co3,examiner_01,1001,1010,1011,1111,a,true
q_dte11,Shift register that can shift data in both directions:,dte_co3,examiner_01,SISO,SIPO,PISO,Bidirectional,d,true
q_dte12,Gray code is used to avoid:,dte_co3,examiner_01,Noise,Glitches during transition,Power consumption,None,b,true
q_ooj01,Which keyword is used to inherit a class in Java?,ooj_co3,examiner_01,implements,extends,inherits,super,b,true
q_ooj02,Method that has same name as class and no return type:,ooj_co3,examiner_01,Static method,Constructor,Final method,Abstract method,b,true
q_ooj03,Which OOP concept allows same method to behave differently?,ooj_co3,examiner_01,Encapsulation,Inheritance,Polymorphism,Abstraction,c,true
q_ooj04,Interface methods are by default:,ooj_co3,examiner_01,Private,Protected,Public abstract,Static,c,true
q_ooj05,Which collection class allows duplicate elements?,ooj_co3,examiner_01,Set,List,Map,HashSet,b,true
q_ooj06,Exception handling uses which keywords?,ooj_co3,examiner_01,try catch throw,if else switch,for while do,break continue return,a,true
q_ooj07,Final keyword when applied to variable means:,ooj_co3,examiner_01,Variable can be changed,Variable is constant,Variable is static,Variable is null,b,true
q_ooj08,Multiple inheritance in Java is achieved through:,ooj_co3,examiner_01,Classes,Interfaces,Both,Neither,b,true
q_ooj09,Which access modifier allows access within package only?,ooj_co3,examiner_01,Private,Public,Protected,Default,d,true
q_ooj10,Abstract class can have:,ooj_co3,examiner_01,Only abstract methods,Only concrete methods,Both abstract and concrete,Neither,c,true
q_ooj11,Thread class method that pauses execution:,ooj_co3,examiner_01,stop(),wait(),sleep(),pause(),c,true
q_ooj12,Which wrapper class corresponds to int?,ooj_co3,examiner_01,Int,INTEGER,Integer,int,c,true
q_cgr01,Scan conversion is the process of converting:,cgr_co3,examiner_01,Image to vector,Vector to pixels,Analog to digital,3D to 2D,b,true
q_cgr02,DDA algorithm uses which operation heavily?,cgr_co3,examiner_01,Addition,Multiplication,Division,Floating point,d,true
q_cgr03,Bresenham's line algorithm uses:,cgr_co3,examiner_01,Floating point,Integer arithmetic,Both,Neither,b,true
q_cgr04,Which transformation does not change object shape?,cgr_co3,examiner_01,Scaling,Rotation,Shearing,Translation,d,true
q_cgr05,Homogeneous coordinates use how many values for 2D point?,cgr_co3,examiner_01,2,3,4,1,b,true
q_cgr06,Cohen-Sutherland algorithm is used for:,cgr_co3,examiner_01,Filling,Line clipping,Circle drawing,Scaling,b,true
q_cgr07,Anti-aliasing is used to remove:,cgr_co3,examiner_01,Noise,Jagged edges,Distortion,All of above,b,true
q_cgr08,Z-buffer algorithm is used for:,cgr_co3,examiner_01,Line drawing,Hidden surface removal,Clipping,Transformation,b,true
q_cgr09,Bezier curve of degree n requires how many control points?,cgr_co3,examiner_01,n,n+1,n-1,2n,b,true
q_cgr10,Reflection about X-axis changes:,cgr_co3,examiner_01,X coordinate,Y coordinate,Both,Neither,b,true
q_cgr11,Parallel projection preserves:,cgr_co3,examiner_01,Size,Angles,Parallel lines,All of above,c,true
q_cgr12,Viewing transformation converts from:,cgr_co3,examiner_01,Object to world,World to view,View to screen,All sequentially,b,true
q_dms01,SQL command to retrieve data from table:,dms_co4,examiner_01,INSERT,SELECT,UPDATE,DELETE,b,true
q_dms02,Primary key must be:,dms_co4,examiner_01,Unique only,Not null only,Unique and not null,None of above,c,true
q_dms03,Which normal form eliminates transitive dependency?,dms_co4,examiner_01,1NF,2NF,3NF,BCNF,c,true
q_dms04,ACID property where transaction completes fully or not at all:,dms_co4,examiner_01,Atomicity,Consistency,Isolation,Durability,a,true
q_dms05,Foreign key references:,dms_co4,examiner_01,Same table primary key,Another table primary key,Any column,Unique column,b,true
